Cell_Af,Cell_Cf,InterneuronCellf,SOM_Cell,CR_Cell
-70.10207240802454,-70.10207240802454,-69.99985524355483,-70.0,-62.6372891842497
-70.10235461710323,-70.10235461710323,-69.99985501028213,-70.0,-62.62496879159675
-70.10263623029289,-70.10263623029289,-69.99985477816992,-70.0,-62.61270750776569
-70.1029172486783,-70.1029172486783,-69.99985454721242,-70.0,-62.60050505271535
-70.10319767334262,-70.10319767334262,-69.99985431740387,-70.0,-62.588361147720256
-70.10347750536737,-70.10347750536737,-69.99985408873857,-70.0,-62.57627551536453
-70.1037567458324,-70.1037567458324,-69.99985386121084,-70.0,-62.56424787953573
-70.10403539581596,-70.10403539581596,-69.99985363481501,-70.0,-62.55227796541883
-70.1043134563946,-70.1043134563946,-69.99985340954544,-70.0,-62.54036549949015
-70.10459092864332,-70.10459092864332,-69.99985318539655,-70.0,-62.528510209511325
-70.1048678136354,-70.1048678136354,-69.99985296236275,-70.0,-62.51671182452333
-70.1051441124425,-70.1051441124425,-69.9998527404385,-70.0,-62.5049700748405
-70.10541982613468,-70.10541982613468,-69.99985251961827,-70.0,-62.493284692044625
-70.10569495578034,-70.10569495578034,-69.99985229989657,-70.0,-62.481655408979
-70.10596950244623,-70.10596950244623,-69.99985208126795,-70.0,-62.47008195974257
-70.10624346719752,-70.10624346719752,-69.99985186372695,-70.0,-62.458564079684066
-70.10651685109771,-70.10651685109771,-69.99985164726817,-70.0,-62.44710150539618
-70.10678965520869,-70.10678965520869,-69.99985143188623,-70.0,-62.435693974709764
-70.10706188059069,-70.10706188059069,-69.99985121757577,-70.0,-62.42434122668805
-70.10733352830238,-70.10733352830238,-69.99985100433145,-70.0,-62.41304300162091
-70.10760459940076,-70.10760459940076,-69.99985079214798,-70.0,-62.401799041019146
-70.1078750949412,-70.1078750949412,-69.99985058102007,-70.0,-62.39060908760876
-70.1081450159775,-70.1081450159775,-69.99985037094248,-70.0,-62.37947288532531
-70.10841436356178,-70.10841436356178,-69.99985016190999,-70.0,-62.36839017930829
-70.1086831387446,-70.1086831387446,-69.99984995391738,-70.0,-62.35736071589547
-70.10895134257485,-70.10895134257485,-69.99984974695948,-70.0,-62.34638424261732
-70.10921897609987,-70.10921897609987,-69.99984954103117,-70.0,-62.335460508191474
-70.10948604036531,-70.10948604036531,-69.99984933612731,-70.0,-62.324589262517165
-70.10975253641529,-70.10975253641529,-69.9998491322428,-70.0,-62.3137702566697
-70.11001846529227,-70.11001846529227,-69.99984892937258,-70.0,-62.30300324289501
-70.11028382803713,-70.11028382803713,-69.99984872751158,-70.0,-62.292287974604164
-70.11054862568912,-70.11054862568912,-69.9998485266548,-70.0,-62.28162420636792
-70.1108128592859,-70.1108128592859,-69.99984832679723,-70.0,-62.271011693911355
-70.11107652986352,-70.11107652986352,-69.99984812793392,-70.0,-62.26045019410843
-70.11133963845646,-70.11133963845646,-69.99984793005991,-70.0,-62.24993946497666
-70.11160218609756,-70.11160218609756,-69.99984773317028,-70.0,-62.23947926567178
-70.11186417381809,-70.11186417381809,-69.99984753726014,-70.0,-62.22906935648241
-70.11212560264772,-70.11212560264772,-69.99984734232461,-70.0,-62.21870949882477
-70.11238647361454,-70.11238647361454,-69.99984714835884,-70.0,-62.20839945523744
-70.11264678774499,-70.11264678774499,-69.99984695535801,-70.0,-62.198138989376105
-70.112906546064,-70.112906546064,-69.99984676331731,-70.0,-62.18792786600833
-70.11316574959486,-70.11316574959486,-69.99984657223197,-70.0,-62.177765851008395
-70.11342439935929,-70.11342439935929,-69.99984638209725,-70.0,-62.16765271135211
-70.11368249637744,-70.11368249637744,-69.99984619290841,-70.0,-62.15758821511167
-70.11394004166783,-70.11394004166783,-69.99984600466072,-70.0,-62.14757213145056
-70.11419703624746,-70.11419703624746,-69.99984581734955,-70.0,-62.13760423061842
